id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10396624,BONITO ESTUDIO MAD-CENTRO MALASAÑA,53530177,Laura,Centro,Universidad,40.42496,-3.7056,Entire home/apt,55,3,250,2019-11-05,5.38,1,195
10398681,Cosy apartment - bed or whole apt,51581852,Sara,Chamartín,Ciudad Jardín,40.445,-3.67752,Private room,25,1,2,2016-06-30,0.05,1,0
10400966,Large and cozy flat with swimming pool and hot tub,24181553,Eduardo,Barajas,Alameda de Osuna,40.45235,-3.58913,Entire home/apt,100,5,67,2019-08-27,1.48,2,339
10403923,DOWNTOWN-ATOCHA-Museums mile-Railway11PAX-WIFI-A/C,9745294,David,Arganzuela,Palos de Moguer,40.40538,-3.69264,Entire home/apt,90,1,150,2019-10-27,3.94,2,84
10404284,Bright duplex penthouse for 4/6 pax,53479725,Almudena Y,Puente de Vallecas,San Diego,40.39353,-3.66446,Entire home/apt,90,4,144,2019-11-03,3.12,2,154
10406938,City Center & La Latina & Cosy,13694500,Barbara,Centro,Embajadores,40.40678,-3.70771,Entire home/apt,75,2,51,2019-11-03,1.15,1,19
10408439,"Apartamento Opera,  Fuentes I",38352975,Charo,Centro,Palacio,40.41875,-3.70851,Entire home/apt,100,10,28,2019-08-19,0.72,14,110
10410002,HABITACIÓN/ ROOM PLAZA ESPAÑA IV,29612002,Vanesa,Moncloa - Aravaca,Argüelles,40.42653,-3.71579,Private room,28,1,40,2019-10-23,0.89,3,69
10411477,New Apartment by Plaza Mayor.,18405319,Jose Maria,Centro,Palacio,40.41297,-3.70898,Entire home/apt,125,2,126,2019-10-29,2.77,2,227
10424707,"Modern, quiet and centric flat",34441888,Juan,Retiro,Pacífico,40.40328,-3.68261,Entire home/apt,65,2,84,2019-11-05,1.84,1,0
10425491,Apartment Madrid Center Latina TLD,53295015,Yegucar 2000 Apartments Madrid,Centro,Embajadores,40.41127,-3.70816,Entire home/apt,92,2,50,2018-12-28,1.37,9,46
10431741,habitacion en lavapies,53731408,Yerson Gabriel,Centro,Embajadores,40.40898,-3.70188,Private room,15,5,131,2019-10-20,2.84,1,21
